Object: ring, Seed: 71561, Result: 1, vel: 5.119416382629133, roll:-0.20053113936393896, pos:[-0.16429316104327174, 0.050979566835793744, 0], ori:[-2.310669912549468, 90, 1.8342385816430191]
Object: ring, Seed: 24029, Result: 0, vel: 5.76294450135023, roll:0.04532413880757613, pos:[-0.15459097007517938, -0.926927355549366, 0], ori:[-2.190749940329131, 90, -6.36750705869189]
Object: ring, Seed: 76518, Result: 1, vel: 5.884496484668568, roll:0.15896739163080797, pos:[0.0615490485960562, -0.920631837556992, 0], ori:[-3.685908167710692, 90, 5.846445860593036]
Object: ring, Seed: 87114, Result: 1, vel: 5.586935784229608, roll:-0.1771998595826112, pos:[-0.11254692398657237, -0.01820873942131107, 0], ori:[0.09438861657799968, 90, 3.6732004903393687]
Object: ring, Seed: 53983, Result: 1, vel: 5.524535084862484, roll:0.05590437901942691, pos:[-0.19983629745200865, -0.5159288034808239, 0], ori:[-1.044443045343665, 90, -3.8512508041904354]
Object: ring, Seed: 1321, Result: 1, vel: 5.222508238342057, roll:-0.23264125879928088, pos:[-0.07714073128247786, -0.4278783814314734, 0], ori:[-0.18443710069590757, 90, 9.608967686569066]
Object: ring, Seed: 76727, Result: 1, vel: 5.510107954737771, roll:-0.07833259759716973, pos:[-0.04706713555655234, -0.21604018278580883, 0], ori:[-0.37540113495700833, 90, 4.9170027258076985]
Object: ring, Seed: 90857, Result: 0, vel: 5.528287497592503, roll:0.29237727278255704, pos:[0.056172632514959076, 0.8160913145508706, 0], ori:[-4.887362602309901, 90, -10.250045193982256]
Object: ring, Seed: 75307, Result: 0, vel: 5.071950489726377, roll:0.02553442642507181, pos:[-0.048608414211783746, -0.6013086273381225, 0], ori:[4.080789463352065, 90, -2.3419594097046996]
Object: ring, Seed: 50480, Result: 0, vel: 5.796239058600013, roll:-0.13433785251936706, pos:[-0.14632686835586647, 0.31619412337754005, 0], ori:[-2.8883235080903766, 90, 12.946642921730248]
Object: ring, Seed: 34918, Result: 0, vel: 5.890440228257431, roll:0.07064547252281733, pos:[-0.0016161887549468457, -0.741654504667164, 0], ori:[3.286409263359941, 90, -7.580849917170859]
Object: ring, Seed: 58932, Result: 0, vel: 5.816791175076498, roll:-0.265196299828403, pos:[-0.27095251625733063, 0.6789920152037794, 0], ori:[2.6460228456674706, 90, -5.398041436489585]
Object: ring, Seed: 51346, Result: 0, vel: 5.17105499550294, roll:0.17762786616996606, pos:[-0.1261078246266082, -0.5604545834194444, 0], ori:[4.386778177465429, 90, 9.301643164298607]
Object: ring, Seed: 98473, Result: 1, vel: 5.454275817427375, roll:-0.03972713474935202, pos:[-0.11239363162335309, 0.15444444304979488, 0], ori:[4.533695997610167, 90, 2.6996348266226917]
Object: ring, Seed: 2615, Result: 0, vel: 5.028831788173613, roll:-0.024863889744409007, pos:[0.08289936973597978, -0.6729921727522918, 0], ori:[-0.2776113396852109, 90, 2.007986788075108]
Object: ring, Seed: 81530, Result: 1, vel: 5.941823943679475, roll:-0.013843143437943017, pos:[-0.26818576197491256, 1.1041604143675212, 0], ori:[4.0354846679889675, 90, 0.7597692239086804]
Object: ring, Seed: 23772, Result: 1, vel: 5.30046022300606, roll:0.08745452400721954, pos:[-0.21828900417933828, 0.6771620186827485, 0], ori:[-2.140971307883701, 90, 9.872070217293498]
Object: ring, Seed: 50629, Result: 0, vel: 5.748878752811218, roll:-0.20769015428019827, pos:[-0.14482158911108714, 0.8906105490271183, 0], ori:[0.884890444559769, 90, -7.209443180173768]
Object: ring, Seed: 50628, Result: 0, vel: 5.953979067060587, roll:-0.1463041882803781, pos:[0.09318669051557077, -0.11465956952054146, 0], ori:[-0.172890217469984, 90, 10.140518681076188]
Object: ring, Seed: 44938, Result: 0, vel: 5.490917233308807, roll:-0.1261890571938139, pos:[-0.2631520124140457, -0.42025508089177566, 0], ori:[2.5123294416005324, 90, -7.488619871783641]
Object: ring, Seed: 49432, Result: 1, vel: 5.835932895126801, roll:0.29102540166312246, pos:[-0.03324140026156219, 0.05467925386510619, 0], ori:[-4.480191952147527, 90, -0.06864622018582267]
Object: ring, Seed: 30944, Result: 1, vel: 5.824652297193863, roll:0.058125238474997565, pos:[-0.18639633015315307, -0.676586438730551, 0], ori:[-1.9023531182997608, 90, 2.4531103481899557]
Object: ring, Seed: 42326, Result: 0, vel: 5.188563107849787, roll:0.05491397568788947, pos:[-0.2483983237495245, -0.8068808934628404, 0], ori:[-3.343396162243061, 90, -4.649767306529791]
Object: ring, Seed: 35614, Result: 0, vel: 5.226214590207642, roll:0.11649188418858747, pos:[-0.028862939202157434, 0.4018788127396826, 0], ori:[-3.9721741286884873, 90, -5.4449624017741165]
Object: ring, Seed: 65803, Result: 0, vel: 5.4766168849523424, roll:0.15979860986841227, pos:[-0.2060443245367152, -1.0463374719257996, 0], ori:[4.218631087605932, 90, 7.005507460969625]
Object: ring, Seed: 30568, Result: 0, vel: 5.33357662669404, roll:-0.14244959645742694, pos:[-0.22091208370740267, 0.27040720344091507, 0], ori:[-4.050917349884636, 90, -2.4536848351155207]
Object: ring, Seed: 36412, Result: 0, vel: 5.12558214368307, roll:0.09875060763776161, pos:[-0.007140241146380566, -0.5158374942362208, 0], ori:[1.8806334362306965, 90, -0.9123876799349411]
Object: ring, Seed: 51592, Result: 1, vel: 5.9114470954967775, roll:0.10050798914385795, pos:[-0.059052450260125344, -0.5157948176978085, 0], ori:[-0.49037372920523836, 90, -2.625824907902212]
Object: ring, Seed: 12357, Result: 1, vel: 5.90903294639148, roll:0.2544385730678636, pos:[-0.0073331875775020094, 0.9133209205227082, 0], ori:[3.075842967246249, 90, -1.509924468928519]
Object: ring, Seed: 55898, Result: 1, vel: 5.552928928880979, roll:0.0916013179954503, pos:[-0.1345925468743553, 0.056973414152240665, 0], ori:[-2.0002532327595492, 90, -6.322980923072978]
Object: ring, Seed: 47263, Result: 1, vel: 5.4204607001376655, roll:0.14924389005403627, pos:[-0.2882466262995143, -0.30767852698515885, 0], ori:[0.31439994996419607, 90, -11.054086948502816]
Object: ring, Seed: 12320, Result: 1, vel: 5.317833396141184, roll:0.2919949137130052, pos:[-0.16267161626580012, 0.5222131493422266, 0], ori:[4.139912866307194, 90, -12.093187572095975]
Object: ring, Seed: 33192, Result: 0, vel: 5.013726240987545, roll:-0.027420326720970778, pos:[-0.2682936062729576, 1.0403021501802183, 0], ori:[0.8230900320878041, 90, 9.92956490312326]
Object: ring, Seed: 35715, Result: 1, vel: 5.956824199716142, roll:-0.14167066545762172, pos:[-0.14127979614351147, -0.5380397207416613, 0], ori:[2.6547990425320576, 90, 6.425851091412952]
Object: ring, Seed: 8819, Result: 1, vel: 5.384070446481748, roll:0.1829065427335575, pos:[-0.20478295172553976, -0.44084341453232956, 0], ori:[-2.8562453335425255, 90, 0.915497195917661]
Object: ring, Seed: 17442, Result: 0, vel: 5.1462502798694105, roll:-0.10775412085446517, pos:[-0.24712790935130977, -0.33998745025017196, 0], ori:[-2.7759974209368767, 90, 12.305234899672438]
Object: ring, Seed: 50691, Result: 1, vel: 5.447054271284265, roll:0.021776879773619306, pos:[-0.04841983626062646, -0.2735248150833248, 0], ori:[-0.6885816478543667, 90, -2.816553968540086]
Object: ring, Seed: 96478, Result: 0, vel: 5.0997194341297325, roll:-0.29834699192207254, pos:[-0.15414363482856272, -0.6451753943449466, 0], ori:[-2.3035485569239933, 90, -13.719340874753984]
Object: ring, Seed: 26452, Result: 1, vel: 5.202379605766981, roll:0.07461531910209196, pos:[-0.18664823322024998, 0.1528790236424875, 0], ori:[0.09925715042719307, 90, -13.579751267704019]
Object: ring, Seed: 94570, Result: 1, vel: 5.828946938406259, roll:-0.2669920459772531, pos:[-0.07799536520006567, -0.9815291629722879, 0], ori:[3.1914976160777755, 90, 7.967413946098851]
Object: ring, Seed: 56670, Result: 0, vel: 5.013132019286073, roll:-0.06024528774853527, pos:[-0.21610300946593333, 0.08840986111483073, 0], ori:[-2.1973065001961247, 90, 12.318927235643386]
Object: ring, Seed: 33069, Result: 0, vel: 5.624100220638799, roll:0.06763768505098194, pos:[-0.029461050579939974, -0.7146360249604834, 0], ori:[1.1051312107526554, 90, -5.841267163099436]
Object: ring, Seed: 17031, Result: 0, vel: 5.007595335339354, roll:-0.06107144674851611, pos:[-0.06662237780423347, 0.4368554517902088, 0], ori:[-0.7584715367993979, 90, 8.683683170767146]
Object: ring, Seed: 94086, Result: 0, vel: 5.258630979147427, roll:-0.10956273346624754, pos:[0.07936256225325239, 0.5175393812616356, 0], ori:[-4.505575137527264, 90, -5.099053358766771]
Object: ring, Seed: 80869, Result: 1, vel: 5.4275775508729245, roll:-0.11977676994005995, pos:[0.04035315202767381, 0.29537617440669806, 0], ori:[0.021218674381754177, 90, -12.716043477257001]
