TimeStamp,Velocity,Angle,Roll,Pitch,Yaw,AverageLeftZ,AverageRightZ,LeftTouchTime,RightTouchTime
1707156110.114816,5.541934006976034,29.006285050876215,-0.40163014811971076,0.15878792627503013,-0.13765374834564204,-1.0,-1.0,-1.0,-1.0
1707156120.8874807,8.057118559735205,25.338831987214203,-0.19923107481305724,0.035155188099937805,-0.4280097792059319,0.8360795794824235,0.8403955429082837,1707156127.5840542,1707156128.643207
1707156132.933243,8.833504310770504,20.01569709184558,-0.5262294429452098,0.17807457498821638,-0.5364389690853879,0.6701578715994421,0.9027873891562971,1707156138.8765726,1707156139.844902
1707156143.8808737,8.093095968886942,27.8124957603111,0.4475823340133034,0.05399715575228706,-0.7202866859078247,1.1587935806675513,0.6313259171143406,1707156150.4618208,1707156152.31857
1707156156.0558033,6.269325483223256,26.31222245339491,-0.22304000296141724,0.1559316944445964,-0.21078099593641508,0.17760892932807165,0.16807489353631633,1707156165.1873863,1707156166.078312
1707156167.2272928,5.684005703673666,60.551952975232254,-0.09969426104058898,0.19087101098591375,-0.12460330514990614,-1.0,-1.0,-1.0,-1.0
1707156182.242257,4.639479071389109,53.88808309852956,-0.10531374066683519,0.14756684637545772,-0.3615925923996901,-1.0,-1.0,-1.0,-1.0
1707156194.939362,8.3146238526203,80.22840343251787,-0.29700776644807925,0.16152596395406033,-0.5834221490522543,-1.0,-1.0,-1.0,-1.0
1707156214.320897,5.011684096240235,24.173147389727184,-0.13518361839740956,0.1578447322612041,-0.24919955200969024,-1.0,-1.0,-1.0,-1.0
1707156224.0923545,9.23632855431046,80.06034439138233,0.4263563997629054,0.02748003419136054,0.03495194918735933,-1.0,-1.0,-1.0,-1.0
1707156244.5273032,4.895625911589175,56.45505709727939,-0.6274606721514511,0.07960469841808432,0.7671168456985347,-1.0,-1.0,-1.0,-1.0
1707156257.1565917,6.978711919410381,84.27439305501208,-0.6110330639949884,0.0649689970096153,0.29041788848819916,-1.0,-1.0,-1.0,-1.0
1707156274.5389082,5.966118189773356,40.37587343737023,0.22202594890000005,0.15094669919815226,0.047314121523600705,-1.0,-1.0,-1.0,-1.0
1707156287.1363661,8.698601756602606,78.63578170341953,0.5700461865352726,0.08541341201555697,-0.3930818397746375,-1.0,-1.0,-1.0,-1.0
1707156306.6236722,7.7738677805326954,36.97464871866124,0.5149674479682567,0.0680298946151016,-0.5504941927493863,1.4347697717975398,0.7247394666198077,1707156314.2479074,1707156316.198076
1707156319.95252,9.136731258831961,64.65522773653197,0.12124473630397659,0.11756674693980147,0.31420512334840733,-1.0,1.5791979561711431,-1.0,1707156334.1822631
1707156339.475337,4.5242212573456975,66.38772247785181,0.5071632318534733,0.12448255067018324,0.3759240149572476,-1.0,-1.0,-1.0,-1.0
1707156352.347532,5.172640414564848,68.33013547817417,-0.22691313194021956,0.12085560839237118,-0.41284215891986964,-1.0,-1.0,-1.0,-1.0
1707156366.9128442,8.845636448806422,61.58807904419478,-0.5800308860268357,0.1132433143053929,0.35712501183623213,0.012352604353308042,2.199035649052548,1707156383.84248,1707156379.4999156
1707156384.989267,6.426184095297214,41.16887985389006,-0.12018386432401162,0.010882191273277698,0.36084873020798636,-0.056376287839824415,0.7454147081632451,1707156397.4233487,1707156395.0798254
1707156398.4890819,4.076014855925426,34.710702362594546,-0.43945328493083746,0.1803436272877574,0.7717892601089928,-1.0,-1.0,-1.0,-1.0
1707156408.545715,8.189570266546461,28.45867373468643,-0.30180233037570936,0.0006257874879513237,0.3456417827001983,0.8233338126041024,1.1221518037279132,1707156416.2197447,1707156415.3435466
1707156420.931852,8.996003945546352,55.86877695636661,-0.10307144327415063,0.0017022886523878622,-0.7366847485901131,2.1195876654365127,1.1979730027100877,1707156430.5149925,1707156435.4272819
1707156439.337833,5.032967798045108,73.87214152544534,-0.43824242641761235,0.02573087581161402,-0.3837360863509471,-1.0,-1.0,-1.0,-1.0
1707156454.3531544,4.068293419430443,22.80601612796096,-0.311783661266116,0.02319312078139737,-0.31895838665785026,-1.0,-1.0,-1.0,-1.0
1707156463.3888547,8.610987192300156,23.25256780126164,0.029790710021264544,0.006892663337377237,-0.017773011182139475,0.8984849550808864,0.822880307748223,1707156470.0016692,1707156470.0463917
1707156475.5475187,4.01076926993284,25.940421860316057,-0.455274751594164,0.18092118383233535,0.29046369932874017,-1.0,-1.0,-1.0,-1.0
1707156484.6213975,6.525836907925154,24.916542553609872,-0.5858661846493514,0.14992830411100688,0.6824875971628661,-1.0,0.7170105201710282,-1.0,1707156492.3098269
1707156495.0260806,8.112876167544346,79.51391124177132,0.3739271580863597,0.03295365083868518,-0.2802895283505097,-1.0,-1.0,-1.0,-1.0
1707156514.1238592,8.301462142989763,50.58925242429037,-0.13721370415853718,0.11600258058729013,-0.37673221545604574,1.650308392674689,1.4418644514305825,1707156523.8142889,1707156525.9057477
1707156530.91842,4.998945651108624,50.11487134540252,-0.004202914483683151,0.12952228251579437,0.7299574047292614,-1.0,-1.0,-1.0,-1.0
1707156544.032576,6.504909699534966,38.670638763713704,0.21859071914839423,0.14672487605356993,-0.7287098847353936,0.9378788824344907,-1.0,1707156552.9664567,-1.0
1707156557.2875462,4.831879966982124,61.17896350447141,0.38314671907068076,0.1676794838599257,-0.41596758669505096,-1.0,-1.0,-1.0,-1.0
1707156570.6623251,9.10959464209012,46.07024565818747,0.08271507612277418,0.11429871265627159,-0.7048154541794864,1.8875633996452297,1.6558044697322016,1707156578.2693067,1707156580.8917608
1707156587.6693816,5.751993912090045,74.21677919136843,-0.7956635021421221,0.1640393761161979,0.1368797346539974,-1.0,-1.0,-1.0,-1.0
1707156602.5919645,4.356516062771204,71.75811466907746,0.5708119100017197,0.06721719218412701,-0.4224079342754761,-1.0,-1.0,-1.0,-1.0
1707156615.459305,7.9386341989997335,30.374965605988045,0.17775385757616724,0.16333447840920257,0.4503099944613922,0.9555369011206222,0.9748540863677233,1707156623.770126,1707156622.5210176
1707156628.2380164,7.983743209407281,67.25229973653924,0.3042899067957969,0.10907073237240537,-0.13868389243758794,-1.0,-1.0,-1.0,-1.0
1707156646.337517,5.816501978058199,54.70603666066397,0.23884850711853423,0.12085320841928299,-0.5646514596280294,-1.0,-1.0,-1.0,-1.0
1707156660.7495198,5.678287506667168,59.868559713856094,-0.6129378479396389,0.05844237193828705,-0.6540427312921608,-1.0,-1.0,-1.0,-1.0
1707156674.6805048,9.79890323044726,46.70375397965211,-0.17548402640765715,0.17835632674805862,0.4336347845193689,1.9486736608833928,2.0908563949160373,1707156683.7187076,1707156682.2478356
1707156692.1791823,9.776424841197482,38.47615484311978,-0.6925635448256904,0.17210281465878163,0.5316742238441372,1.4570401119622436,1.9246040828497084,1707156699.8418949,1707156698.5560775
1707156707.0809405,5.524666845281178,68.6394604865595,-0.1763426077267296,0.07606062792685271,0.36026775506236564,-1.0,-1.0,-1.0,-1.0
1707156722.2596903,9.498155376155133,26.09943629205939,0.7372736264412478,0.03791700896474708,-0.02140359624177124,1.3078518669293395,0.8986344051871854,1707156728.3400152,1707156728.392039
1707156734.209811,8.072021316527787,67.7788159643627,0.13861097882530482,0.043211508674011356,0.5553042957463046,-1.0,0.288962762049246,-1.0,1707156751.0958712
1707156752.9586716,9.633285453731764,44.540906772321875,0.6708576830916371,0.08093017875951768,-0.1305070255646148,2.1342014438542156,1.6613020758836072,1707156760.9161434,1707156761.3703847
1707156769.106265,8.20052108213348,51.09644903267348,0.3740147226450803,0.02353178839353789,-0.13475545390685562,1.7888833898694312,1.2363150500873616,1707156779.5007179,1707156780.314059
1707156785.3313537,6.6155848271524125,29.786675409915254,0.6937367161258505,0.11759792080719889,0.6099908462907873,-1.0,0.3842733567898162,-1.0,1707156793.4182215
1707156796.2640142,7.9714500869856995,21.72499497177899,-0.04263540261235943,0.08209415821929616,0.3240551868909316,0.5926109720782301,0.7005322867651534,1707156803.5661268,1707156802.7886028
1707156807.5834355,5.7945405254349325,21.634423770492162,0.6211268572759061,0.14957801632185078,-0.14184359016185033,-1.0,-1.0,-1.0,-1.0
1707156816.9611604,7.326128938278933,59.89030799167322,0.02624733743847185,0.1446481567228218,0.29224387215080605,-1.0,0.5733870608462155,-1.0,1707156831.2599573
1707156833.9115956,7.67086687510672,42.915272679030096,-0.6378114120924576,0.03614171667874402,0.2940765763314861,0.7859622997156192,1.5509283568575798,1707156844.1038115,1707156842.780125
1707156847.8786075,4.068778919088812,49.05731638338813,0.6347176902193803,0.15377468829112803,0.1228581848041399,-1.0,-1.0,-1.0,-1.0
1707156858.766468,8.996174323532966,45.95372924486395,-0.5494745607543823,0.05830823405248782,0.3536825482099928,1.501552381857413,2.056954629348743,1707156868.147162,1707156866.8120444
1707156874.575516,4.313307670300057,69.50261467956904,-0.4256145463976282,0.06564231216665031,0.10256529756206123,-1.0,-1.0,-1.0,-1.0
1707156887.4695613,5.949397031155881,80.38032867688547,-0.6799889064519666,0.1639070734778988,0.43784805778494773,-1.0,-1.0,-1.0,-1.0
1707156903.610058,6.119762504851945,32.16289605468772,-0.21948914987343238,0.13992465007041716,0.18985221454878065,-1.0,0.4136813158669682,-1.0,1707156913.5965164
1707156915.6627827,6.144834760445117,48.7256825659871,0.31402170925170414,0.09835229041110181,0.6329077840038526,-1.0,0.39173719222335296,-1.0,1707156926.995463
1707156929.4450562,8.815362223829474,32.72979136853048,0.18150324725496692,0.07453335340284346,-0.15712784294277715,1.3533525783359865,1.235493507775224,1707156936.3768756,1707156936.7720065
1707156943.4135883,7.8350701054615275,74.71412887577472,-0.7370954035985829,0.020202731381471176,0.21486388784598165,-1.0,-1.0,-1.0,-1.0
1707156961.3769476,8.594562683868249,31.00226555856638,-0.7211637103331272,0.002311782459613454,-0.02158913420148567,0.9288806543196354,1.3944866492220027,1707156968.4692483,1707156968.5222275
1707156973.9364564,9.336294185351377,50.01609916885592,-0.3461965105487066,0.06787679418448343,0.5780843831318334,1.6768333688710435,2.2240393049833336,1707156984.7844038,1707156982.2647583
1707156991.340867,6.858416296905849,63.80435152572582,0.35291996432654615,0.1420022803486619,0.7953706475602378,-1.0,-1.0,-1.0,-1.0
1707157007.664056,7.784174460453533,47.7367884800223,-0.1933821753471856,0.1031637590264995,0.4534785984288028,0.8803731082754679,1.5332729048628857,1707157019.6945894,1707157017.1333451
1707157023.483457,6.638456278887972,45.536177485853244,0.5104055339715854,0.08638593573949385,-0.5271887502272539,1.1547695824232647,-1.0,1707157033.6733727,-1.0
1707157037.2236228,7.619163720370144,84.26179750720733,-0.535158454437037,0.05566933822252949,0.37259861164499464,-1.0,-1.0,-1.0,-1.0
1707157055.74165,7.290304683612789,44.96864745783155,0.7182190352107285,0.10870870069652219,0.42820848272177403,1.1395235240243502,0.8740717560237434,1707157067.4033165,1707157065.343487
1707157069.6804368,7.3622132097769795,64.85795442037345,0.4950971518433025,0.11675837552182729,0.7160929173268809,-1.0,0.04869306024391161,-1.0,1707157085.3762796
