Object: ring, Seed: 63207, Result: 0, vel: 5.530956876792768, roll:-0.03821912285887458, pos:[0.06091481704525331, -0.850801216788091, 0], ori:[-2.670903045511026, 90, -10.351678930234902]
Object: ring, Seed: 12673, Result: 0, vel: 5.341211872036093, roll:0.013625071519462906, pos:[-0.2891174936694682, 0.09133648358150293, 0], ori:[-4.100695438014733, 90, 4.08606378350952]
Object: ring, Seed: 89318, Result: 0, vel: 5.531248103533116, roll:-0.0004150364987976496, pos:[-0.2628282947613978, -0.06231072725013154, 0], ori:[-1.3322526600803886, 90, -1.2985962758703842]
Object: ring, Seed: 70029, Result: 1, vel: 5.415668626441794, roll:0.02484271666518212, pos:[-0.2231058237976522, -0.8900060205778123, 0], ori:[-3.676927330265942, 90, 3.527532064785337]
Object: ring, Seed: 83829, Result: 0, vel: 5.49399213305494, roll:-0.12878840479566417, pos:[-0.13502707388156152, -0.6646140407148718, 0], ori:[-2.8680321139333556, 90, -8.409610561679886]
Object: ring, Seed: 95862, Result: 0, vel: 5.0885535365486865, roll:0.11790500592032327, pos:[-0.01980442710374053, 0.49391558179197137, 0], ori:[4.822435556197183, 90, 10.038714295162535]
Object: ring, Seed: 96484, Result: 0, vel: 5.019333382546788, roll:0.21056783410209873, pos:[-0.1020734549995739, 0.904346206057743, 0], ori:[-0.3842365962986918, 90, -5.628588084063731]
Object: ring, Seed: 7036, Result: 0, vel: 5.838892290956836, roll:0.13920366267071604, pos:[0.04548303936256343, 0.35829282993660305, 0], ori:[-1.949110268284441, 90, 0.32608534179687965]
Object: ring, Seed: 15631, Result: 1, vel: 5.602704662991238, roll:0.23488295494435135, pos:[-0.00958361897712856, -0.43807712625758044, 0], ori:[-4.2445773676487475, 90, 2.3562340381302818]
Object: ring, Seed: 55353, Result: 1, vel: 5.132634833939084, roll:0.17359389567278283, pos:[0.09463151090361116, 0.6217060084645547, 0], ori:[2.8566728968025608, 90, -1.258802956308017]
Object: ring, Seed: 23672, Result: 0, vel: 5.736980245813545, roll:-0.03575549325192906, pos:[-0.023948068359614993, 1.0080114375487474, 0], ori:[4.738184417948071, 90, 0.10269235769512797]
Object: ring, Seed: 3633, Result: 0, vel: 5.13639388814835, roll:-0.28767717876585036, pos:[-0.26726638262499386, 0.9458526787423793, 0], ori:[-1.0740651368549505, 90, -5.679638155839967]
Object: ring, Seed: 68221, Result: 0, vel: 5.232098521456669, roll:-0.0649038646441718, pos:[0.09012262385693243, 0.4086121867772534, 0], ori:[-0.7490074218042047, 90, 12.423496075208703]
Object: ring, Seed: 40690, Result: 1, vel: 5.209782925144126, roll:-0.02309922724928548, pos:[-0.19646666950727415, 0.761002010907412, 0], ori:[-1.46480261929148, 90, -7.244043090362577]
Object: ring, Seed: 45255, Result: 1, vel: 5.397465498544018, roll:0.25518421637307614, pos:[-0.014949556354944216, 0.07358914851900211, 0], ori:[-1.8907086017303332, 90, -4.367456728766934]
Object: ring, Seed: 49892, Result: 0, vel: 5.516856786355258, roll:0.12341189714693607, pos:[-0.24771219494639388, 0.502530671134441, 0], ori:[-4.1458319061340765, 90, 7.495181087908808]
Object: ring, Seed: 25179, Result: 0, vel: 5.848057044139608, roll:0.20959242626292912, pos:[-0.16667931396484573, 0.3730599483756203, 0], ori:[-0.19300910996612686, 90, 5.11456315668562]
Object: ring, Seed: 96295, Result: 0, vel: 5.380532398457017, roll:-0.14220357241821083, pos:[-0.0016286267037781688, -0.7619473272537851, 0], ori:[0.597661153518203, 90, -9.282196780416573]
Object: ring, Seed: 52483, Result: 0, vel: 5.866585772277523, roll:0.12303013431756332, pos:[0.04679289196064801, 0.9846838106584561, 0], ori:[0.5402731518503021, 90, 8.44635931655441]
Object: ring, Seed: 14551, Result: 0, vel: 5.622945512179849, roll:0.20782979940744511, pos:[-0.20083167988556208, -0.8803747020853436, 0], ori:[-1.1340696637744871, 90, -13.259422731628057]
Object: ring, Seed: 3383, Result: 0, vel: 5.081340671636681, roll:0.05987389358573181, pos:[-0.05844085092996251, 0.005604569641125767, 0], ori:[-0.6456841283600205, 90, 6.4411972554312875]
Object: ring, Seed: 9140, Result: 0, vel: 5.691769465085747, roll:-0.017836150029287734, pos:[-0.19604800785303417, 0.9629873764058103, 0], ori:[-3.7664952699433374, 90, 8.118596630188577]
Object: ring, Seed: 64443, Result: 0, vel: 5.163830668394948, roll:0.016302411414952034, pos:[-0.16321141070050874, 1.106269151444503, 0], ori:[-3.559446047170857, 90, 2.9988871051944024]
Object: ring, Seed: 22339, Result: 0, vel: 5.0238654695577605, roll:-0.04861626247403433, pos:[-0.1200908524296935, -0.5742902712244567, 0], ori:[-2.5826932246165804, 90, -0.019757220494568628]
Object: ring, Seed: 85249, Result: 1, vel: 5.728208417614263, roll:0.03139394295779352, pos:[-0.11497183944716022, -0.21601966046664367, 0], ori:[2.3763343172497544, 90, 12.53842415267625]
Object: ring, Seed: 70347, Result: 1, vel: 5.870954725263031, roll:-0.2304628280297609, pos:[0.020014857122785834, -0.4971543910040159, 0], ori:[4.55886692670423, 90, -10.043626955440534]
Object: ring, Seed: 81007, Result: 1, vel: 5.814696797881053, roll:0.11690925027715271, pos:[-0.064409824640633, -1.0465213392246904, 0], ori:[2.241719979969213, 90, 13.69750987190423]
