Object: ring, Seed: 45170, Result: 0, vel: 5.896913541972327, pos:[-0.21851697657648517, -1.108667052905224, 0], ori:[2.4700914623981323, 90, -7.548351914579378]
Object: ring, Seed: 25748, Result: 1, vel: 5.742523494438859, pos:[-0.25618316028183197, 0.6192668595408835, 0], ori:[1.546708347676856, 90, -9.171356916133167]
Object: ring, Seed: 89584, Result: 0, vel: 5.5206236393837465, pos:[-0.04878195949106118, -1.1760444805544241, 0], ori:[0.4098396454584581, 90, 0.37370927054031355]
Object: ring, Seed: 17870, Result: 0, vel: 5.359074503499807, pos:[-0.04331172481382911, 0.5927353260177541, 0], ori:[1.343662290085966, 90, 1.309177642336122]
Object: ring, Seed: 62961, Result: 0, vel: 5.992686747967639, pos:[-0.12202732718052717, -1.0808910491802428, 0], ori:[2.83260192584663, 90, 4.5437225595557145]
Object: ring, Seed: 62971, Result: 0, vel: 5.061680463211951, pos:[-0.08220253046553491, -0.2815670688370958, 0], ori:[1.9876428792028786, 90, -7.225711928056843]
Object: ring, Seed: 49166, Result: 0, vel: 5.221664933151497, pos:[-0.01131232490092482, -1.031000136098278, 0], ori:[-1.7248618087670629, 90, -12.105792983103385]
Object: ring, Seed: 2919, Result: 0, vel: 5.065383162529831, pos:[-0.20396044632434157, 0.9488479863650803, 0], ori:[-2.318326649839854, 90, -3.8365609964239127]
Object: ring, Seed: 38247, Result: 0, vel: 5.01681710901399, pos:[-0.21140409583154723, 0.7221902058132765, 0], ori:[2.652622738015058, 90, 11.590986287364231]
Object: ring, Seed: 79505, Result: 0, vel: 5.515484843438207, pos:[-0.05159095037156103, 0.703337281096877, 0], ori:[2.9800329238175394, 90, 10.519111376655314]
Object: ring, Seed: 72784, Result: 1, vel: 5.725734931510584, pos:[-0.19510000464103378, -0.33829928179965085, 0], ori:[-1.1721839525992173, 90, 9.243836479464441]
Object: ring, Seed: 23107, Result: 1, vel: 5.312608671395959, pos:[-0.13623448199655264, -0.5736158602656903, 0], ori:[4.944169634202256, 90, -13.81454202743414]
Object: ring, Seed: 25061, Result: 0, vel: 5.454970714026806, pos:[-0.10868642430782882, 0.9167104043447714, 0], ori:[3.01799800806657, 90, 7.868286629697703]
Object: ring, Seed: 54782, Result: 0, vel: 5.997748842663855, pos:[-0.07425486002506926, -1.178065922373458, 0], ori:[4.828635393959139, 90, -12.537540462044621]
Object: ring, Seed: 84487, Result: 0, vel: 5.317019540628345, pos:[-0.025226889491832993, 0.22327151052162475, 0], ori:[-4.899032774767232, 90, 4.776163632809293]
Object: ring, Seed: 67631, Result: 1, vel: 5.640350325477114, pos:[-0.009316941716550897, 0.5184652125018601, 0], ori:[-0.5053274133047765, 90, 2.9913696169258905]
Object: ring, Seed: 19989, Result: 1, vel: 5.131190113185684, pos:[-0.24633905013764024, 0.8995966044478434, 0], ori:[-2.6847756202619157, 90, -7.824852514101197]
