Object: noodle, Seed: 54261, Result: 0, vel: 5.729525844470291, roll:0.2865329793541998, pos:[0.030615758362776246, 0.31653631650319203, 0], ori:[90, 1.824692482163499, -13.067438584685949]
Object: noodle, Seed: 62750, Result: 1, vel: 5.209359569627657, roll:-0.041729936547812374, pos:[0.02556244091110449, -0.7065266683244896, 0], ori:[90, 3.927738167508542, -13.594316170733178]
Object: noodle, Seed: 34982, Result: 1, vel: 5.903164391665235, roll:-0.25338289045928, pos:[-0.01792406436032906, 1.0583607086175173, 0], ori:[90, 0.6668108393497203, 8.508292264069155]
Object: noodle, Seed: 14772, Result: 1, vel: 5.289952303558118, roll:0.029909908966854637, pos:[-0.09800904338975538, -0.2240485590720872, 0], ori:[90, 3.372609478166286, -11.41069458331227]
Object: noodle, Seed: 12138, Result: 1, vel: 5.764098774582605, roll:-0.050697547144166966, pos:[0.020373362164171238, -0.4022547479322982, 0], ori:[90, 3.5052239111190424, 6.387087858577779]
Object: noodle, Seed: 2301, Result: 1, vel: 5.232542202711502, roll:0.2783898591594029, pos:[-0.2326161924207928, -0.1998795621818834, 0], ori:[90, 3.7316022433399816, -1.3486485737952485]
Object: noodle, Seed: 31560, Result: 1, vel: 5.4666162135029275, roll:-0.08833488097684342, pos:[-0.01780828977249621, 0.489490128315053, 0], ori:[90, -2.340379157180814, -4.448037259379401]
Object: noodle, Seed: 47485, Result: 1, vel: 5.3910607665241015, roll:0.07223393982099241, pos:[-0.1266326742513978, -0.8819389061854652, 0], ori:[90, -1.1637893031777602, 4.0052991269839]
Object: noodle, Seed: 68282, Result: 1, vel: 5.213161812711441, roll:0.03401693083071472, pos:[-0.11925621966086791, 0.5174437890587835, 0], ori:[90, -4.168765006458716, 9.790290828852264]
Object: noodle, Seed: 49464, Result: 1, vel: 5.1379696521036005, roll:-0.10835480343578358, pos:[-0.10127673161179113, 0.6213618335834243, 0], ori:[90, -3.3770126644116805, 13.897086927571362]
Object: noodle, Seed: 30743, Result: 0, vel: 5.866735036278172, roll:0.23538009765091444, pos:[-0.10155580948601689, -0.6928621983457129, 0], ori:[90, -0.6027129238630993, 4.181908472412285]
Object: noodle, Seed: 77579, Result: 1, vel: 5.453819836464218, roll:-0.15450224195591689, pos:[0.06167007425608212, -0.053328356482721606, 0], ori:[90, 1.138030755212501, 0.5117415635951232]
Object: noodle, Seed: 55585, Result: 1, vel: 5.490319307840982, roll:0.18380303932482556, pos:[-0.07872809375731801, -0.8822676476124414, 0], ori:[90, 0.16929490317388218, -10.356244682991754]
Object: noodle, Seed: 77948, Result: 0, vel: 5.565492277126623, roll:0.28936820986442574, pos:[0.06994047513948182, -0.32766990220726533, 0], ori:[90, 4.110949019675548, -7.250652486632941]
Object: noodle, Seed: 48783, Result: 0, vel: 5.3441254635328415, roll:-0.19878544247490723, pos:[0.009963142006436165, -0.49433711128584223, 0], ori:[90, -4.145402464114821, 6.378666239321955]
Object: noodle, Seed: 96958, Result: 1, vel: 5.971782003909281, roll:-0.164246228996027, pos:[0.03736677551511991, -0.43680219356019123, 0], ori:[90, -0.031189152742475912, 9.258151646142633]
Object: noodle, Seed: 32882, Result: 1, vel: 5.395825082899409, roll:-0.010260636387681377, pos:[-0.21420330375919872, -0.824906001257211, 0], ori:[90, 3.6248413011734577, 12.957269665713245]
Object: noodle, Seed: 82991, Result: 1, vel: 5.4543691939696135, roll:0.01973951411904551, pos:[-0.010711973403487063, 0.6619514141154867, 0], ori:[90, 2.594748872592186, -13.53496742412372]
Object: noodle, Seed: 80889, Result: 1, vel: 5.190433150314036, roll:-0.053660341087898356, pos:[-0.128763892395847, 0.5987027743916102, 0], ori:[90, 1.958064865235288, -12.813983375242632]
Object: noodle, Seed: 98014, Result: 1, vel: 5.0018542660932335, roll:-0.18194139895359185, pos:[-0.04623439048217892, 0.6122605042239309, 0], ori:[90, -2.697339186135681, -8.547955254008789]
Object: noodle, Seed: 98700, Result: 1, vel: 5.884535272607483, roll:0.2621167190753048, pos:[-0.20990668184365274, 0.13580805249382366, 0], ori:[90, -0.9421937164536693, 9.845359790985523]
Object: noodle, Seed: 66813, Result: 0, vel: 5.533528215790811, roll:-0.1381156039287024, pos:[-0.11920168305401418, -0.4835326658895873, 0], ori:[90, -0.9959534800651877, 3.798501164693228]
Object: noodle, Seed: 8777, Result: 0, vel: 5.842434930486548, roll:0.2194886512474949, pos:[0.0032482212709877833, -0.2813633851921854, 0], ori:[90, -2.6616650225516736, -8.275130774837747]
Object: noodle, Seed: 35015, Result: 0, vel: 5.930391258347541, roll:0.021119986653533207, pos:[-0.0017447751272003376, -0.2936327179609335, 0], ori:[90, 1.73945710659929, -0.272706071064297]
Object: noodle, Seed: 78063, Result: 0, vel: 5.993137031567963, roll:0.17616690685612774, pos:[-0.1308482913049611, 0.041254660523524445, 0], ori:[90, -3.1092790200971967, -5.337915937656222]
Object: noodle, Seed: 13854, Result: 1, vel: 5.268081526497061, roll:-0.02673332759444791, pos:[-0.06653515629606954, -0.358271697974066, 0], ori:[90, 3.460723410682899, 2.2640782966119595]
Object: noodle, Seed: 27559, Result: 1, vel: 5.6921752480075005, roll:0.1511101412324679, pos:[-0.29953468036650155, -0.9155191598374754, 0], ori:[90, 3.196720789089042, 0.09894074421170629]
Object: noodle, Seed: 13853, Result: 0, vel: 5.291447739790491, roll:0.08412271380335323, pos:[-0.22153992712284248, 0.664675083380484, 0], ori:[90, -1.8250575107350597, -5.22644826241897]
Object: noodle, Seed: 10309, Result: 0, vel: 5.285095812901347, roll:-0.23582089500473224, pos:[-0.25440372015476975, -1.1012868211751563, 0], ori:[90, 1.0897882842220827, -10.488435460877637]
Object: noodle, Seed: 34260, Result: 1, vel: 5.714567225583195, roll:-0.21772533336820898, pos:[-0.0014817818292140461, -0.7707246629989684, 0], ori:[90, -1.9461944949050958, -8.794104191633485]
Object: noodle, Seed: 3870, Result: 1, vel: 5.242603317623879, roll:0.2832392117673181, pos:[-0.07597978955360579, 0.5420366705048438, 0], ori:[90, -3.854986213218422, -13.363228173961343]
Object: noodle, Seed: 31495, Result: 1, vel: 5.991114380269411, roll:0.09564992378834242, pos:[-0.18912521884017264, 0.28338723696566226, 0], ori:[90, -4.251877984301026, 1.2155684793269046]
Object: noodle, Seed: 91009, Result: 1, vel: 5.812707143526354, roll:0.04951013688122363, pos:[-0.2940043919015985, 0.9227306074176853, 0], ori:[90, 4.017131404322853, 3.249273154486165]
Object: noodle, Seed: 543, Result: 0, vel: 5.997274808615021, roll:-0.1810820766663563, pos:[-0.2199590551809057, -0.7792194100384251, 0], ori:[90, -4.336649160082651, 6.288388107220662]
Object: noodle, Seed: 29524, Result: 1, vel: 5.677134063545105, roll:-0.11584963885724087, pos:[-0.043179915991782725, -0.4511681399699984, 0], ori:[90, 2.7946775407677427, -12.675072014094772]
Object: noodle, Seed: 82399, Result: 1, vel: 5.22149390395284, roll:-0.12051101653644547, pos:[0.08849189584323713, 0.48218010523158195, 0], ori:[90, 0.7000962885033122, -10.70863431541614]
Object: noodle, Seed: 94791, Result: 1, vel: 5.775334598135719, roll:-0.20631658616265644, pos:[-0.2559225505386733, -1.161611897008456, 0], ori:[90, 3.7045148957192318, -7.960706902957304]
Object: noodle, Seed: 85125, Result: 1, vel: 5.2382455753537664, roll:-0.04502018059034696, pos:[0.09981048712488255, -1.0108569267607164, 0], ori:[90, 3.544971505002298, 13.486525468187523]
Object: noodle, Seed: 20573, Result: 1, vel: 5.6078872819571295, roll:0.27482872633922467, pos:[-0.16944936154311482, -1.1124841519699489, 0], ori:[90, 4.9786430755529985, 12.341746793769882]
Object: noodle, Seed: 23679, Result: 1, vel: 5.119985549707433, roll:-0.29900991528749604, pos:[0.08603995484324245, 0.331561704308748, 0], ori:[90, 3.7564920557358867, -1.5235969694998772]
Object: noodle, Seed: 9145, Result: 0, vel: 5.886261027110824, roll:-0.1290601911969433, pos:[0.03027385023402568, -0.9240817180107118, 0], ori:[90, 1.3688480408484507, 13.090908715820355]
Object: noodle, Seed: 69869, Result: 0, vel: 5.146049885923603, roll:-0.2912875348600434, pos:[0.02081588854275146, 0.016339791264637027, 0], ori:[90, -3.5225044530254923, -1.8981529298214106]
Object: noodle, Seed: 9860, Result: 0, vel: 5.781969898226877, roll:0.18939468176304936, pos:[-0.18431651583163647, -0.5469661679208487, 0], ori:[90, -4.676949552352139, 13.158190699203917]
Object: noodle, Seed: 5496, Result: 0, vel: 5.13906871484483, roll:-0.2048058433895264, pos:[-0.2958092760326848, -0.5032178371648611, 0], ori:[90, -4.5759025659633075, -12.688437409537897]
Object: noodle, Seed: 94327, Result: 1, vel: 5.675126894574514, roll:-0.17271575601827358, pos:[-0.10886605752047374, 0.6148496121711877, 0], ori:[90, -1.000349333692545, 9.890925596916713]
Object: noodle, Seed: 18795, Result: 0, vel: 5.914567571509277, roll:-0.1318834353968759, pos:[0.08331938159770236, -0.955670518001613, 0], ori:[90, 0.8332116896938722, -7.3749051479474685]
Object: noodle, Seed: 60447, Result: 1, vel: 5.570465374015199, roll:0.013651514788207086, pos:[0.06423431430650284, -0.11165973420474762, 0], ori:[90, 3.0248868249707854, -6.297931135999665]
Object: noodle, Seed: 3271, Result: 0, vel: 5.451040268811835, roll:0.11054898191088941, pos:[-0.17895236419292726, 0.24602130570059666, 0], ori:[90, -3.122009427318715, -10.426545751202028]
Object: noodle, Seed: 44089, Result: 1, vel: 5.51557360866492, roll:-0.019005825851310165, pos:[0.08890833430977546, 0.15313437727475376, 0], ori:[90, 1.8719903283242525, -10.211799452168119]
Object: noodle, Seed: 54915, Result: 0, vel: 5.351162993521035, roll:-0.08912841601771596, pos:[-0.22975206929656877, 0.023358069128892822, 0], ori:[90, 3.7907132453630794, -2.987627411434012]
Object: noodle, Seed: 159, Result: 1, vel: 5.78884637518318, roll:-0.18216473200119673, pos:[-0.23790770716959056, -0.06461772657154219, 0], ori:[90, -2.175854889395584, 4.5933249740398026]
Object: noodle, Seed: 13474, Result: 0, vel: 5.567914888080575, roll:-0.2650243429446648, pos:[-0.2596320022594072, -0.3698809114271434, 0], ori:[90, -3.3567608838810004, 8.044941668767507]
Object: noodle, Seed: 41608, Result: 0, vel: 5.119854615849821, roll:-0.258823455902463, pos:[-0.16662394876597858, -0.3432818234590731, 0], ori:[90, 3.501420709323659, -8.588774287034362]
Object: noodle, Seed: 17686, Result: 1, vel: 5.2205908020050495, roll:-0.13224348546997625, pos:[-0.1225547917024741, -0.5463908364518232, 0], ori:[90, 2.301796689353665, -1.8039200712970747]
Object: noodle, Seed: 91254, Result: 1, vel: 5.494807932000453, roll:-0.11472889622271365, pos:[-0.08670669049251806, 0.4190809771252828, 0], ori:[90, -0.03796602768955548, 7.902259518479411]
Object: noodle, Seed: 70087, Result: 1, vel: 5.983229878459511, roll:0.005869710359617031, pos:[-0.04251531240644707, 0.6224589283446851, 0], ori:[90, -1.162575582849672, 0.6372356172620108]
Object: noodle, Seed: 13025, Result: 1, vel: 5.707413800922278, roll:0.05854453616472671, pos:[-0.19921601154977925, -1.1445323425422793, 0], ori:[90, -3.236864723459192, 4.633544707978281]
Object: noodle, Seed: 16080, Result: 0, vel: 5.941822965412826, roll:0.26399363154280636, pos:[0.0625758820558347, -0.9112387501774272, 0], ori:[90, 2.4774126855404077, -3.2639862202537557]
Object: noodle, Seed: 14320, Result: 1, vel: 5.148524210347298, roll:0.04647780043226468, pos:[-0.11432514157692977, -0.2832510160237194, 0], ori:[90, 0.5542831259251777, -0.14790417638553066]
Object: noodle, Seed: 93424, Result: 1, vel: 5.047743491553135, roll:0.10420003159718294, pos:[-0.055641891759831114, -0.48251409271866375, 0], ori:[90, -3.533265480015438, 0.9122049681983206]
Object: noodle, Seed: 82511, Result: 0, vel: 5.8558742199689995, roll:0.18974554043878694, pos:[-0.030868356779932382, -0.5004050313254861, 0], ori:[90, -2.4165658471149842, 6.928532350000232]
Object: noodle, Seed: 51399, Result: 1, vel: 5.041555658240899, roll:0.053865484851334355, pos:[-0.2667298916155327, -0.4210789977436692, 0], ori:[90, -1.1547822571649347, 9.38548121848828]
Object: noodle, Seed: 46527, Result: 1, vel: 5.2661762651380135, roll:-0.027839849518876525, pos:[-0.17610821592863107, -0.29651767540950325, 0], ori:[90, -0.709011379437281, -11.904451175730468]
Object: noodle, Seed: 48970, Result: 1, vel: 5.390520987780689, roll:-0.025667037758124567, pos:[-0.18773384386353603, 0.6197158749230816, 0], ori:[90, 4.5293389840728295, -7.777094538515922]
Object: noodle, Seed: 61915, Result: 1, vel: 5.822735412544489, roll:-0.1450427309953865, pos:[-0.12555297283677172, 0.6751970090890664, 0], ori:[90, 4.5824514799087765, -3.7184389614022813]
Object: noodle, Seed: 68385, Result: 0, vel: 5.598724262753732, roll:0.09832279672795413, pos:[-0.05596002101763922, -1.0836779724477195, 0], ori:[90, 0.5208257113289774, -4.693883545993463]
Object: noodle, Seed: 85158, Result: 0, vel: 5.646294026488612, roll:0.0002826599217137238, pos:[-0.16822454327542927, 0.2667112192415353, 0], ori:[90, -0.11393037812417983, 3.6373572453755862]
Object: noodle, Seed: 38881, Result: 1, vel: 5.217501792203912, roll:-0.05301007024144161, pos:[0.06797408021540258, 0.5584538356388971, 0], ori:[90, 4.091160402205716, 3.381733511364086]
Object: noodle, Seed: 66329, Result: 0, vel: 5.575983366157648, roll:0.11528098036033985, pos:[-0.2472848122106175, 0.3975120447691154, 0], ori:[90, -0.4806735405290139, -13.15326255887041]
Object: noodle, Seed: 6306, Result: 0, vel: 5.611981285529733, roll:0.06619617878300116, pos:[-0.15160101869576945, 0.23165029221780098, 0], ori:[90, -1.1343216787070687, 12.424275281754415]
Object: noodle, Seed: 73928, Result: 0, vel: 5.151691799297803, roll:0.029771958598797332, pos:[-0.18563151982181492, -0.0014619798810664442, 0], ori:[90, 0.9789168570212414, 6.7812131944752565]
Object: noodle, Seed: 89862, Result: 1, vel: 5.33994228763732, roll:0.2760766025000983, pos:[0.0248052943513698, 0.9856708036305284, 0], ori:[90, 2.8123585473946333, -3.0982818404616346]
Object: noodle, Seed: 75160, Result: 1, vel: 5.375511059361756, roll:-0.23113180792570132, pos:[-0.19027533168477898, -1.1142253134418592, 0], ori:[90, -4.779117209205123, 5.326594410977034]
Object: noodle, Seed: 29035, Result: 0, vel: 5.721713370307695, roll:0.19490405110736725, pos:[-0.0695732744980588, -0.528896479201357, 0], ori:[90, 4.8616356440561646, -8.395579078157677]
Object: noodle, Seed: 61772, Result: 1, vel: 5.334724257188917, roll:-0.09437071085805021, pos:[0.015356981621735266, 0.2916810760731172, 0], ori:[90, 1.101742044012342, -11.608274173261746]
Object: noodle, Seed: 18094, Result: 0, vel: 5.8224229267453795, roll:0.12839488576225755, pos:[0.08169868376178624, -1.0444357530187278, 0], ori:[90, 3.667907458570447, 1.628445826766491]
Object: noodle, Seed: 3491, Result: 1, vel: 5.489991599243671, roll:-0.21635361449129628, pos:[-0.001101887220252895, 0.8170260356572385, 0], ori:[90, -3.49951091441583, 10.984710641189245]
Object: noodle, Seed: 3972, Result: 1, vel: 5.162740496481646, roll:0.2145293061288956, pos:[-0.0196891719392695, -0.9664661491288951, 0], ori:[90, 1.9556898268620895, -0.5396065091368634]
Object: noodle, Seed: 29568, Result: 1, vel: 5.636950898738578, roll:0.1359363702519818, pos:[-0.010469249184028306, -0.977418669244004, 0], ori:[90, -4.859015493345272, -3.2351155228703377]
Object: noodle, Seed: 51819, Result: 1, vel: 5.212008786424347, roll:-0.2929799761294501, pos:[-0.15588195784369605, -0.6291370919563782, 0], ori:[90, -3.295547136923104, -13.816554270770244]
Object: noodle, Seed: 30630, Result: 1, vel: 5.749430032614931, roll:0.11338462384294462, pos:[-0.27242529738837007, -0.36269876757517505, 0], ori:[90, -3.617630931994844, -11.936872429156507]
Object: noodle, Seed: 6296, Result: 0, vel: 5.852158512687046, roll:0.2026894725538138, pos:[0.0018120597741090871, -0.4168531719127788, 0], ori:[90, -3.6189994835438153, -4.461877508709625]
