Object: ring, Seed: 3759, Result: 0, vel: 5.044739338171977, roll:-0.11479175326503824, pos:[-0.02568166163263602, -0.34084164676765394, 0], ori:[3.000391940071651, 90, 9.08704182078921]
Object: ring, Seed: 86916, Result: 0, vel: 5.4032694825868095, roll:0.07973949746356845, pos:[0.028488247863667437, -1.1893169635238403, 0], ori:[1.758238317578746, 90, 4.000490882384753]
Object: ring, Seed: 26335, Result: 1, vel: 5.8080972426484365, roll:0.21948201503502224, pos:[-0.17048235003522846, 0.9156792835961858, 0], ori:[-4.758785618875423, 90, -0.3966998290452928]
Object: ring, Seed: 94636, Result: 1, vel: 5.89048491925867, roll:-0.10408129814252134, pos:[-0.23649444549314508, 0.07981795587134122, 0], ori:[-1.0300056888232856, 90, 13.79253314520502]
Object: ring, Seed: 56374, Result: 1, vel: 5.310039618300442, roll:-0.019592789746245343, pos:[0.029003484535379598, 0.9241135548802386, 0], ori:[-4.748845851175123, 90, 11.490198528490286]
Object: ring, Seed: 45336, Result: 1, vel: 5.839483133682944, roll:-0.005382657023380144, pos:[-0.20832853526998152, -1.1489266504582185, 0], ori:[0.8377559893325639, 90, 3.767552599701091]
Object: ring, Seed: 72568, Result: 1, vel: 5.041164582925363, roll:-0.026452226848016458, pos:[-0.07199451361504872, 0.722926151784375, 0], ori:[2.176758896666774, 90, -0.9505465853880075]
Object: ring, Seed: 78977, Result: 0, vel: 5.046251495964247, roll:-0.2590139853008984, pos:[-0.28838828559361274, -0.5166952328651169, 0], ori:[-4.438590883838137, 90, 6.7362962880695605]
Object: ring, Seed: 4434, Result: 1, vel: 5.89863462930013, roll:0.2489858198659491, pos:[-0.07865393654256556, 0.5097625799473193, 0], ori:[4.116732814545916, 90, -9.195916211019162]
Object: ring, Seed: 83307, Result: 1, vel: 5.801856555782083, roll:0.26213783898838633, pos:[-0.2205597074713659, 0.04782373263600537, 0], ori:[2.0899414356161374, 90, 5.498705677592021]
Object: ring, Seed: 11698, Result: 0, vel: 5.1908122571002675, roll:0.13100208264512736, pos:[-0.2785753440539915, -0.8694320013909035, 0], ori:[1.6210992580055503, 90, -6.974666226671013]
Object: ring, Seed: 23852, Result: 1, vel: 5.031746428267597, roll:0.06962749751108915, pos:[-0.0586972411808418, 0.6548249147798513, 0], ori:[0.9017611511053811, 90, -2.647361090342171]
