Object: noodle, Seed: 77649, Result: 0, vel: 5.2236570380804945, pos:[-0.28410908355397285, 0.668628933349873, 0], ori:[90, -0.1640086260673792, 12.077430125730814]
Object: noodle, Seed: 24323, Result: 1, vel: 5.5674082369503335, pos:[-0.15527314087765934, 0.07052940689615106, 0], ori:[90, 0.5663773717149194, -9.958741373364122]
Object: noodle, Seed: 66349, Result: 1, vel: 5.560541777002175, pos:[-0.13957353188999216, 0.4621694114852075, 0], ori:[90, -4.140028641416715, 1.8325378271043888]
Object: noodle, Seed: 41214, Result: 0, vel: 5.3069859827601675, pos:[-0.16520432948013428, -0.9681935307704468, 0], ori:[90, -3.811388565676422, 10.158572030524098]
Object: noodle, Seed: 28111, Result: 0, vel: 5.486849473578861, pos:[-0.1699797874976535, -0.7545630053259422, 0], ori:[90, -4.491958879306992, -4.375498148327127]
Object: noodle, Seed: 39378, Result: 0, vel: 5.879834547816687, pos:[-0.1419955784924982, 0.7281280025210983, 0], ori:[90, 3.4622950013533753, -2.023094055716026]
Object: noodle, Seed: 80656, Result: 0, vel: 5.615242697220912, pos:[-0.21384347220404526, 0.29862020323698824, 0], ori:[90, -2.3327741540451163, 11.373709189600376]
Object: noodle, Seed: 24165, Result: 0, vel: 5.982383165205695, pos:[-0.049200410142687945, -0.6049275548312313, 0], ori:[90, -0.39064192896464345, 13.517687552199718]
Object: noodle, Seed: 9614, Result: 0, vel: 5.5956319282405484, pos:[-0.2960956620427016, 0.5381350103659601, 0], ori:[90, -1.5887651960972304, 11.754506011408331]
Object: noodle, Seed: 32022, Result: 0, vel: 5.071761225104917, pos:[-0.08346051360610313, 0.8420906968654698, 0], ori:[90, 2.0675032866488596, 12.3872313391857]
Object: noodle, Seed: 67559, Result: 0, vel: 5.472878831087909, pos:[-0.06260796775276939, 0.9089582168104797, 0], ori:[90, 3.6815628722809137, -8.048243990435804]
Object: noodle, Seed: 70700, Result: 1, vel: 5.890314148375392, pos:[-0.21659530590735726, -0.32033860844761686, 0], ori:[90, -3.083266395534776, 12.227610392099713]
Object: noodle, Seed: 42557, Result: 0, vel: 5.2277337708962595, pos:[-0.05155977519803229, -0.4468078349826734, 0], ori:[90, 0.4026885734206882, 9.730476881327252]
Object: noodle, Seed: 24191, Result: 0, vel: 5.001407199030476, pos:[-0.2729809250229264, -0.8368245380407044, 0], ori:[90, 1.5200848846773143, -10.13564210761463]
Object: noodle, Seed: 66985, Result: 0, vel: 5.302707183622943, pos:[0.099103571558246, -0.6069948447754259, 0], ori:[90, -3.828852270049643, 10.907675567265173]
Object: noodle, Seed: 66853, Result: 0, vel: 5.891939248811094, pos:[0.011940165337173791, -1.0201405224845919, 0], ori:[90, 1.7001501343108458, 4.918519496307358]
Object: noodle, Seed: 81240, Result: 1, vel: 5.358056475096729, pos:[-0.21576754399530354, -0.47281214816506045, 0], ori:[90, 0.3847102814089247, -10.321704139210068]
Object: noodle, Seed: 41333, Result: 0, vel: 5.827400182962054, pos:[0.07812595540310968, 1.0277635095780797, 0], ori:[90, -3.890880159534454, -9.769086001066762]
Object: noodle, Seed: 7190, Result: 0, vel: 5.9387729515971515, pos:[-0.2449460557406728, 0.4741616834771549, 0], ori:[90, -1.925185941950982, 7.152305349735936]
Object: noodle, Seed: 50521, Result: 1, vel: 5.828470533557409, pos:[-0.08092895453708787, -0.9943830312857963, 0], ori:[90, -3.008006539099677, 13.455986946474283]
Object: noodle, Seed: 91512, Result: 0, vel: 5.167564346495462, pos:[-0.1847102083375366, -0.770229451178357, 0], ori:[90, -4.4949657979282485, 12.294968918236123]
Object: noodle, Seed: 71092, Result: 0, vel: 5.185969707395999, pos:[0.022616494587465397, -0.8849060225891566, 0], ori:[90, -0.6771834620623274, 3.275610345024365]
Object: noodle, Seed: 81820, Result: 1, vel: 5.887980809515157, pos:[-0.10043624316977165, -0.8903740687198368, 0], ori:[90, 2.0796984667803384, 11.20546791492664]
Object: noodle, Seed: 26701, Result: 0, vel: 5.060327949196541, pos:[0.03775862156311838, 0.8228212851026584, 0], ori:[90, -1.3018434066343576, 1.8422683689285861]
Object: noodle, Seed: 39342, Result: 0, vel: 5.201397919601118, pos:[0.06579332809712396, -0.8490212647010419, 0], ori:[90, 0.488750779057618, 5.778995224589572]
Object: noodle, Seed: 40083, Result: 1, vel: 5.377600772710772, pos:[-0.2715092153546639, 0.27486437672172315, 0], ori:[90, -3.383416914237748, -6.926520039932603]
Object: noodle, Seed: 79387, Result: 0, vel: 5.32027678505734, pos:[-0.25443618629760556, 0.5056296881790634, 0], ori:[90, -0.9903449902375163, -7.006885299469337]
Object: noodle, Seed: 77150, Result: 0, vel: 5.445499182838242, pos:[-0.03328557181445696, -0.8265420902173205, 0], ori:[90, 0.0013774815766334214, 3.845384601247595]
Object: noodle, Seed: 10835, Result: 0, vel: 5.5847201113282114, pos:[-0.26233705264233764, 0.5905547293479896, 0], ori:[90, 1.9772432729437952, 3.26277988276836]
Object: noodle, Seed: 25671, Result: 0, vel: 5.940523075044764, pos:[-0.17904221525671515, -0.9734344218590446, 0], ori:[90, -3.5900057395381015, -11.117752257533551]
Object: noodle, Seed: 63258, Result: 1, vel: 5.573793000334684, pos:[0.08537631315983507, -0.3390042693228571, 0], ori:[90, -3.1190632170234944, 5.594504080965827]
Object: noodle, Seed: 93967, Result: 1, vel: 5.222293938783441, pos:[-0.08718350832007499, 0.1259491368651755, 0], ori:[90, -0.15708100545679393, 5.789317363325125]
Object: noodle, Seed: 96699, Result: 0, vel: 5.581139496829844, pos:[-0.2705784045586774, -0.4182832671326703, 0], ori:[90, -3.0578130347456933, 2.0701002263147075]
Object: noodle, Seed: 35896, Result: 1, vel: 5.224083541450377, pos:[-0.24348987365844027, 0.4012211216926169, 0], ori:[90, 0.580079792508208, 13.97663731958555]
Object: noodle, Seed: 75302, Result: 0, vel: 5.598317877019049, pos:[-0.08944140143770166, 0.4147055251254905, 0], ori:[90, 2.2425651374133615, 7.464348279409496]
Object: noodle, Seed: 45890, Result: 0, vel: 5.0767860150391595, pos:[-0.2242565918367871, 1.130865703673874, 0], ori:[90, 2.1576928715122223, -7.781453668074093]
Object: noodle, Seed: 12276, Result: 1, vel: 5.819561712893482, pos:[0.07661789879792302, 0.3235047195463072, 0], ori:[90, -4.020772144641505, -4.696683046984472]
Object: noodle, Seed: 65036, Result: 0, vel: 5.633865783912151, pos:[0.006022710810209886, 0.61100298178368, 0], ori:[90, -3.2761543327319953, 12.768852146156583]
Object: noodle, Seed: 43702, Result: 1, vel: 5.328496111655793, pos:[-0.1810819332207283, -0.9330009699479018, 0], ori:[90, 1.8288650625997995, -5.675882481788218]
Object: noodle, Seed: 25008, Result: 0, vel: 5.819665600111675, pos:[0.01724920700877003, 1.0840483635940996, 0], ori:[90, 0.8083489434651367, -8.512608682065009]
Object: noodle, Seed: 65541, Result: 0, vel: 5.821244683680499, pos:[0.05847037490832924, -1.1703135721569857, 0], ori:[90, -4.861556911803278, 9.447266607811038]
Object: noodle, Seed: 35371, Result: 0, vel: 5.222269752352551, pos:[0.053096626298853755, 0.8638832900909736, 0], ori:[90, 3.616032102274186, -4.23703994360832]
Object: noodle, Seed: 38294, Result: 0, vel: 5.364126491096194, pos:[-0.08884403460886767, 0.21034015048761256, 0], ori:[90, 0.1285044455230997, -6.247692158072882]
Object: noodle, Seed: 57086, Result: 1, vel: 5.022736404374767, pos:[-0.001305725953701098, 0.3354986745968269, 0], ori:[90, 4.483680994535282, -7.400978696348773]
Object: noodle, Seed: 73324, Result: 0, vel: 5.778232175557724, pos:[-0.026373311788383758, -0.4771959557367945, 0], ori:[90, -1.0688081687012074, -10.626387014779366]
Object: noodle, Seed: 97050, Result: 1, vel: 5.059132380993225, pos:[-0.020488741080482764, 0.3188341638628902, 0], ori:[90, -2.2863537408510224, 1.7248362575761362]
Object: noodle, Seed: 47573, Result: 0, vel: 5.500160471002019, pos:[-0.1840499614140552, -0.40794040517620933, 0], ori:[90, -1.3117714448982998, 7.367019546524432]
Object: noodle, Seed: 71278, Result: 0, vel: 5.549055855118867, pos:[0.04136982846455434, -1.1088311072164623, 0], ori:[90, -2.150652368145578, -11.61536700848573]
Object: noodle, Seed: 32492, Result: 1, vel: 5.459186347579842, pos:[-0.16693215782340023, -0.3663927099459904, 0], ori:[90, 4.840574810958461, -2.1613214516576544]
Object: noodle, Seed: 1232, Result: 1, vel: 5.500996566661416, pos:[-0.18969273150612947, 1.0538567408446264, 0], ori:[90, 4.408818398661051, 0.5762376265999727]
Object: noodle, Seed: 77917, Result: 1, vel: 5.545504309320037, pos:[0.08038816382387542, 0.6859062635635265, 0], ori:[90, 2.3336418911783667, -0.0035207974954492016]
Object: noodle, Seed: 59401, Result: 0, vel: 5.050025577342122, pos:[0.08768799994404214, -0.9942178822329, 0], ori:[90, -3.3894337291851038, -10.94480526907431]
Object: noodle, Seed: 55986, Result: 0, vel: 5.798999288472736, pos:[-0.17367845821255842, -0.9134289071149662, 0], ori:[90, -4.225871943066531, 0.5328816452777616]
Object: noodle, Seed: 79445, Result: 1, vel: 5.997493593545853, pos:[-0.11607862787697273, 0.31896710482187896, 0], ori:[90, -3.549325992552949, 10.642297664671094]
Object: noodle, Seed: 66563, Result: 0, vel: 5.402902385671817, pos:[-0.006012361013858547, 0.22327077071138812, 0], ori:[90, -2.3606938880856654, -6.406860361403222]
Object: noodle, Seed: 99061, Result: 1, vel: 5.875118139038988, pos:[-0.25460722889697274, -0.43804329451679347, 0], ori:[90, -2.740724651212234, -1.6349840293973585]
Object: noodle, Seed: 98850, Result: 0, vel: 5.953091201633786, pos:[-0.0455319590975079, 0.8490226856979304, 0], ori:[90, 1.877967079597294, 0.8654653117710858]
Object: noodle, Seed: 19143, Result: 0, vel: 5.910062659909071, pos:[0.08111921083996759, 0.03981067591042353, 0], ori:[90, -0.8999689790719358, 10.99855605567818]
Object: noodle, Seed: 80380, Result: 1, vel: 5.776850354068101, pos:[-0.24098603640398375, -0.7536494584154401, 0], ori:[90, -0.9066576552278169, 6.354124335172244]
Object: noodle, Seed: 58460, Result: 0, vel: 5.253161121415624, pos:[-0.21118604970941596, -0.3706442243322149, 0], ori:[90, -1.5034807779738735, -2.420141467217819]
Object: noodle, Seed: 12291, Result: 1, vel: 5.450356278603583, pos:[-0.23842452435906647, -0.3735676589092243, 0], ori:[90, -0.8547292301869955, -7.9647897770219185]
Object: noodle, Seed: 64537, Result: 0, vel: 5.455931919218978, pos:[-0.0021255427056004472, 0.3225318172680096, 0], ori:[90, -2.5460006502347587, 9.662489763722377]
Object: noodle, Seed: 61842, Result: 0, vel: 5.602892992772142, pos:[-0.27206512863290866, -1.0943260092962872, 0], ori:[90, -1.2108413110935623, 0.03979476352536082]
Object: noodle, Seed: 27218, Result: 1, vel: 5.243676513343834, pos:[-0.05465317242779541, 0.06462287346569884, 0], ori:[90, 2.4750032939841313, -6.447178301493626]
Object: noodle, Seed: 62745, Result: 0, vel: 5.886376016240126, pos:[0.09710323270711158, -0.2735137642636112, 0], ori:[90, 0.738698725226743, -2.7213126354875]
Object: noodle, Seed: 9625, Result: 1, vel: 5.56889959531831, pos:[-0.03002868361616523, -0.7497824104187167, 0], ori:[90, 2.851665222582348, -11.006094610349217]
Object: noodle, Seed: 29891, Result: 1, vel: 5.770439197865816, pos:[0.09923180382064967, -0.5999054166105474, 0], ori:[90, -3.0814367974434784, 11.161002921020327]
Object: noodle, Seed: 9535, Result: 1, vel: 5.646972351420701, pos:[0.0039994183550960405, -0.947826742256278, 0], ori:[90, 3.1308747756032353, 11.173365009977811]
Object: noodle, Seed: 42516, Result: 1, vel: 5.20828467131961, pos:[-0.055654245827418625, 0.02445361000481583, 0], ori:[90, -2.9314654637023443, -7.627136250538733]
Object: noodle, Seed: 86386, Result: 1, vel: 5.4156373725364055, pos:[0.0020538586260034353, 0.2824605119237136, 0], ori:[90, 2.4113913514568956, 5.385525742943145]
Object: noodle, Seed: 31960, Result: 0, vel: 5.015243260624613, pos:[-0.03548644703573339, 0.8742246734439616, 0], ori:[90, 3.8189715087973255, 0.029604934094784596]
Object: noodle, Seed: 89186, Result: 0, vel: 5.979973339694602, pos:[-0.28523766371200493, -0.36992510706306925, 0], ori:[90, 4.5778066857335205, 1.0920366997015911]
Object: noodle, Seed: 14087, Result: 0, vel: 5.77185837300649, pos:[-0.16537245257030816, -0.7551236696001264, 0], ori:[90, -4.3855219281374485, 3.4004008184530257]
Object: noodle, Seed: 91296, Result: 0, vel: 5.13510676286774, pos:[-0.12711356826479586, -0.9035805061031178, 0], ori:[90, 3.20832305612446, -4.950328043875]
