Object: noodle, Seed: 8781, Result: 0, vel: 5.588785383245348, pos:[-0.07582294403517206, -0.4910180896513556, 0], ori:[90, 4.609911572047771, 1.5263384839246061]
Object: noodle, Seed: 7111, Result: 0, vel: 5.175870146150057, pos:[-0.00844017531365926, -0.4872164354020083, 0], ori:[90, 2.9849083053934997, -9.088246451489278]
Object: noodle, Seed: 1972, Result: 0, vel: 5.928443614523254, pos:[-0.08939099457024796, 0.3129163878916815, 0], ori:[90, 2.3593989878725683, 6.859804746977787]
Object: noodle, Seed: 8738, Result: 0, vel: 5.056465053083716, pos:[-0.17556948004767564, -0.104796207133808, 0], ori:[90, 2.5484062701878774, -2.6354808861329495]
Object: noodle, Seed: 132, Result: 1, vel: 5.919708976605238, pos:[-0.05920917311129753, 0.3632369926501502, 0], ori:[90, 1.141305048573856, -3.669934115130669]
Object: noodle, Seed: 3833, Result: 0, vel: 5.620613921030522, pos:[-0.08050403822334104, 0.024087679521647365, 0], ori:[90, 4.757745814532964, -8.35010158921672]
Object: noodle, Seed: 1227, Result: 0, vel: 5.026835579022424, pos:[-0.06742248808139892, 0.06394575409114889, 0], ori:[90, -1.089763362666567, 13.823260870732295]
Object: noodle, Seed: 3559, Result: 0, vel: 5.8280989486859935, pos:[-0.19815445406385784, -0.2913489051110292, 0], ori:[90, -4.813311197993508, -4.165831232658551]
Object: noodle, Seed: 4031, Result: 0, vel: 5.582878781634722, pos:[-0.11998160084815299, -0.13515586072362795, 0], ori:[90, 3.6960526703309498, 9.494843267728111]
Object: noodle, Seed: 8244, Result: 1, vel: 5.903140639795615, pos:[-0.09084627505238077, 0.4342247945087452, 0], ori:[90, 2.554893279947363, 4.526294084321677]
Object: noodle, Seed: 7619, Result: 0, vel: 5.36539389433561, pos:[-0.07466732705766715, 0.3585261357784473, 0], ori:[90, -2.4916024301804063, 13.830270452911353]
Object: noodle, Seed: 4288, Result: 0, vel: 5.024392320202341, pos:[-0.022114904060847596, 0.06969289405101153, 0], ori:[90, 4.966338900334357, 2.7275933055784165]
