Object: cuboid, Seed: 56529, Result: 1, vel: 5.82230567238326, roll:-0.1636652046286728, pos:[-0.2192080239002761, -0.48170074113410133, 0], ori:[-3.1391492482937333, 90, 7.305310958056214]
Object: cuboid, Seed: 96772, Result: 1, vel: 5.905318101354851, roll:0.23732635606950164, pos:[-0.1365698766303739, 0.9973523951272469, 0], ori:[4.450472082747531, 90, -2.8899872221218583]
Object: cuboid, Seed: 87655, Result: 1, vel: 5.006160752654528, roll:-0.14879262665426876, pos:[0.009725431442667187, 0.13236500186977707, 0], ori:[-4.4497156343189666, 90, 4.983515415707686]
Object: cuboid, Seed: 65512, Result: 1, vel: 5.86218632546532, roll:-0.15448683919921719, pos:[-0.12183036981878706, -0.35455708031377264, 0], ori:[4.2422785765877595, 90, -9.828748347751683]
Object: cuboid, Seed: 24182, Result: 1, vel: 5.912711600133155, roll:-0.17516400507336266, pos:[0.0927158794673662, -0.7355768228938875, 0], ori:[0.3699217381316213, 90, -3.83884369822176]
Object: cuboid, Seed: 94979, Result: 0, vel: 5.580523180892979, roll:-0.22382649474212496, pos:[-0.2638320410020108, 0.6608228821609416, 0], ori:[4.910319052479075, 90, -7.035034980822337]
Object: cuboid, Seed: 96039, Result: 0, vel: 5.473588032963703, roll:0.20205036648924485, pos:[-0.16585593550539068, 0.6373315701523417, 0], ori:[1.3965946915960643, 90, -0.5868992139929556]
Object: cuboid, Seed: 82745, Result: 0, vel: 5.340587132782528, roll:0.22448379658972578, pos:[-0.175860248740846, -1.1365849428035733, 0], ori:[-3.903862180104438, 90, 5.563633243317696]
Object: cuboid, Seed: 93990, Result: 0, vel: 5.403610698453624, roll:-0.14610262534748078, pos:[-0.04510110069822765, 0.9550627391142454, 0], ori:[-4.771962784079141, 90, 3.179921512108539]
Object: cuboid, Seed: 70878, Result: 1, vel: 5.154393028951154, roll:-0.26224260311626557, pos:[-0.14882844160806707, -0.4121935371156996, 0], ori:[-1.6393802946886882, 90, 13.73607280213633]
Object: cuboid, Seed: 79648, Result: 0, vel: 5.376192444573784, roll:-0.09860390551316758, pos:[0.020314297007253457, -0.027967847260842893, 0], ori:[2.7885553879910896, 90, -4.457435506699824]
Object: cuboid, Seed: 90389, Result: 1, vel: 5.774166416983859, roll:-0.07736826875694022, pos:[0.027951011938718406, 0.6231159457579181, 0], ori:[-3.262637172154599, 90, 0.6245147761491925]
Object: cuboid, Seed: 35535, Result: 1, vel: 5.272497088948212, roll:-0.21383630321046207, pos:[0.043878355254311996, 0.8290368641422441, 0], ori:[-2.738528267681123, 90, 2.199384751318739]
Object: cuboid, Seed: 17271, Result: 0, vel: 5.404701332182533, roll:-0.08078999462572226, pos:[-0.1521600290182924, -1.0342110030827327, 0], ori:[-2.172365504638968, 90, -3.2242344713263744]
Object: cuboid, Seed: 79631, Result: 0, vel: 5.732675617995653, roll:-0.14697295774647406, pos:[-0.15235432498556598, -0.9283367327956915, 0], ori:[1.2772099763564064, 90, 7.572239526075116]
Object: cuboid, Seed: 45149, Result: 0, vel: 5.292708407598136, roll:-0.11564341280529769, pos:[0.013756748649429718, -0.7107569761041808, 0], ori:[2.576124429508427, 90, 0.8611852677730472]
Object: cuboid, Seed: 70655, Result: 0, vel: 5.060398084579927, roll:0.09021065288215085, pos:[0.015070208383453132, -0.9894332612614429, 0], ori:[-1.3236023085665147, 90, -7.987968617279565]
Object: cuboid, Seed: 49093, Result: 0, vel: 5.0031439996799225, roll:0.1795821982156603, pos:[-0.021855971001202734, -0.13669435541904296, 0], ori:[-1.1841586098882386, 90, -12.313704324668368]
Object: cuboid, Seed: 77700, Result: 0, vel: 5.459702086344237, roll:-0.1262245425194327, pos:[0.03734701262740192, 0.00689113486679882, 0], ori:[-1.812864577551636, 90, -6.090982782032731]
Object: cuboid, Seed: 93365, Result: 0, vel: 5.602076611133962, roll:-0.05269019145598633, pos:[-0.20196579439394238, -0.4643824265514279, 0], ori:[-0.6612014658435381, 90, -2.909114334899682]
Object: cuboid, Seed: 62844, Result: 0, vel: 5.198621161442269, roll:0.2518626139311892, pos:[-0.137893954659231, -1.088686859488539, 0], ori:[-4.55120788134149, 90, 11.507486703152587]
Object: cuboid, Seed: 66952, Result: 1, vel: 5.198171917220195, roll:0.13248845407667054, pos:[-0.07151261851030072, 0.4420443730626866, 0], ori:[-2.4540808225563007, 90, -12.574677521362231]
Object: cuboid, Seed: 55748, Result: 0, vel: 5.430969121462238, roll:0.23305238897570707, pos:[-0.088220355598257, -0.1988887144058018, 0], ori:[2.3217724486741185, 90, -1.3040693536928512]
Object: cuboid, Seed: 20869, Result: 0, vel: 5.058314087455353, roll:-0.14192930580931454, pos:[-0.20298574886321477, -0.04955413597263991, 0], ori:[-4.393000056062842, 90, -13.737208801083288]
Object: cuboid, Seed: 27413, Result: 0, vel: 5.452650839326143, roll:-0.059358112926164996, pos:[-0.20702410506286928, -0.922519638043298, 0], ori:[-0.7427876545302112, 90, 2.6611263641511265]
Object: cuboid, Seed: 76731, Result: 0, vel: 5.821685940476073, roll:0.23014675782049548, pos:[0.007585231817771376, -0.1939531737951694, 0], ori:[-0.3477297749112651, 90, -10.322951981811762]
Object: cuboid, Seed: 6039, Result: 1, vel: 5.239680824534545, roll:-0.010981377522114921, pos:[-0.06022144784688874, -0.07233886876883511, 0], ori:[-1.3851252706940933, 90, -13.293993252659819]
Object: cuboid, Seed: 51343, Result: 1, vel: 5.901583964120363, roll:0.1686089857984694, pos:[0.054360976078853485, -1.0075589688456774, 0], ori:[-4.825624039200685, 90, 0.38113113853724556]
