Object: noodle, Seed: 503, Result: 0, vel: 5.969823052422798, pos:[-0.17277916349390657, 0.01975962142733767, 0], ori:[90, -0.9792264731428055, -7.061704330215081]
Object: noodle, Seed: 1611, Result: 0, vel: 5.586452932444468, pos:[-0.0004023180324881359, 0.21708753618858423, 0], ori:[90, 2.0534733429555434, -8.746782212577124]
Object: noodle, Seed: 8293, Result: 1, vel: 5.262300336237402, pos:[-0.027086443576871233, 0.4619732600071247, 0], ori:[90, -2.156863847224686, 6.730749950993964]
Object: noodle, Seed: 5625, Result: 0, vel: 5.99766584103749, pos:[-0.12932576716006797, -0.36806712376639217, 0], ori:[90, 0.7326879940458788, -8.717208330469193]
Object: noodle, Seed: 8928, Result: 0, vel: 5.469839056518459, pos:[-0.013626487587536762, 0.43824296410327435, 0], ori:[90, -1.3866088055674797, 4.035027785339121]
Object: noodle, Seed: 6965, Result: 0, vel: 5.968295852784104, pos:[-0.08303164470954694, 0.06167106477101625, 0], ori:[90, 2.6228618416164986, 1.005340820106138]
Object: noodle, Seed: 6501, Result: 0, vel: 5.721349946538495, pos:[-0.1412233989511889, -0.019552766085260687, 0], ori:[90, 0.02244287319189997, -13.712974960004294]
Object: noodle, Seed: 8115, Result: 1, vel: 5.714067208454837, pos:[-0.03365091522472041, -0.4453026630559648, 0], ori:[90, -2.297887192461733, 3.8843337732948093]
Object: noodle, Seed: 8078, Result: 0, vel: 5.82676963546625, pos:[-0.019169793773378963, -0.009774346743000706, 0], ori:[90, -3.1351445715592376, -11.980295456772527]
Object: noodle, Seed: 4034, Result: 0, vel: 5.854506557475672, pos:[-0.1417691889716445, 0.20725174005361569, 0], ori:[90, 2.571017433596511, -1.570745332699321]
Object: noodle, Seed: 8349, Result: 0, vel: 5.717847477851591, pos:[-0.04433625557327131, 0.009265203833005553, 0], ori:[90, -3.173962609316324, 1.2236156833275764]
Object: noodle, Seed: 7495, Result: 0, vel: 5.125766510737563, pos:[-0.12310131013659423, 0.012544336610071039, 0], ori:[90, -4.520098904014382, -3.4989468692592656]
